author,statement,source,date,target,BinaryTarget,BinaryNumTarget
Ciara O'Rourke,“The Biden Administration is buying Kamala Harris’ book with our taxpayer dollars.”,Facebook posts,"27, April 2021",false,FAKE,0
Ciara O'Rourke,Photo shows Facebook’s “community standards team.”,Viral image,"27, April 2021",false,FAKE,0
Ciara O'Rourke,COVID-19 “has killed less people than the damn flu.”,Facebook posts,"27, April 2021",false,FAKE,0
Ciara O'Rourke,"Says the Memphis Police Department “will no longer respond” to crimes including larceny, breaking and entering, and motor vehicle theft.",Viral image,"27, April 2021",false,FAKE,0
Louis Jacobson,“You didn't see Republicans when we had control of the Senate try to rig the game.”,Ted Cruz,"27, April 2021",false,FAKE,0
Haley BeMiller,Foxconn “is the largest taxpayer in Racine County.”,Van Wanggaard,"27, April 2021",true,REAL,1
Bill McCarthy,"""Biden's climate requirements"" will ""cut 90% of red meat from diet"" to a ""max 4 lbs per year"" and ""one burger per month.""",Fox News Channel,"26, April 2021",pants-fire,FAKE,0
Gabrielle Settles,"By clicking on a link from a fake USPS text message, “you are sending your precise location to sex traffickers in your local area” so they can kidnap you.",Facebook posts,"26, April 2021",false,FAKE,0
Andy Nguyen,"“Those 30-, 40-year mortgages” prove that banks know climate change “is not going to happen.”",Instagram posts,"26, April 2021",false,FAKE,0
Ciara O'Rourke,Says Joe Biden was the only world leader to wear a face mask during a video conference.,Viral image,"26, April 2021",false,FAKE,0
Ciara O'Rourke,"Says the Chicago Police Department tweeted, “We are all Derek Chauvin.”",Viral image,"26, April 2021",false,FAKE,0
Madison Czopek,Officials “recommend that women who get one of these (COVID-19) shots should absolutely not get pregnant for at least the first two months after they’ve been injected.”,Sherri Tenpenny,"26, April 2021",false,FAKE,0
William Skipworth,"""An average of nearly 5,000 Missourians were contracting COVID every day in November.""",Missouri House Democratic Caucus,"24, April 2021",barely-true,FAKE,0
Gabrielle Settles,"Says Joe Biden said, “This country is doomed, not just because of African Americans, but because by 2040 this country is going to be minority white European.""",Instagram posts,"23, April 2021",false,FAKE,0
Miriam Valverde,"""Mountains of data"" show drug ivermectin ""basically obliterates"" COVID-19 transmission.",Instagram posts,"23, April 2021",false,FAKE,0
Bill McCarthy,"A video shows Kim Jong Un calling Joe Biden a ""thug,"" a ""coward,"" and ""mentally unstable"" in a speech.",TikTok posts,"23, April 2021",pants-fire,FAKE,0
Ciara O'Rourke,Video shows Donald Trump returning to Washington “in a blaze of glory on Air Force 1.”,Facebook posts,"23, April 2021",pants-fire,FAKE,0
Ciara O'Rourke,“Pope Francis is dead.”,Facebook posts,"23, April 2021",pants-fire,FAKE,0
Brandon Mulder,"“Statistics show that more people of color don't have cars than not. So how do (drive-thru voting centers) help those folks?""",Dan Patrick,"23, April 2021",false,FAKE,0
Sasha Hupka,Maxine Waters could be “sentenced” for “jury tampering.”,Facebook posts,"23, April 2021",barely-true,FAKE,0
Tom Kertscher,Children ages 5 to 9 “are not affected by” the coronavirus.,Facebook posts,"23, April 2021",half-true,FAKE,0
Samantha Putterman,The knife was on the ground when police arrived at the scene of Ma’Khia Bryant shooting.,Facebook posts,"23, April 2021",false,FAKE,0
D.L. Davis,"For mitigating COVID-19 spread, “masks (are) the number one way to do so.""",Jill Underly,"23, April 2021",mostly-true,FAKE,0
Gabrielle Settles,Derek Chauvin’s attorney said that space aliens “inhabited the body of Derek Chauvin and caused this death.”,TikTok posts,"22, April 2021",false,FAKE,0
Samantha Putterman,"Says LeBron James said, “We’re at the point where a girl can’t even stab her friends anymore.”",Facebook posts,"22, April 2021",pants-fire,FAKE,0
Samantha Putterman,Photos reveal Greta Thunberg is a trained actress who comes from a long line of actors.,Viral image,"22, April 2021",false,FAKE,0
Brian Grace,"“The federal American Rescue Plan will purchase more food from farmers for distribution.""",Zach Wahls,"22, April 2021",true,REAL,1
Tom Kertscher,Two photos show climate change “is a hoax.”,Facebook posts,"21, April 2021",false,FAKE,0
Andy Nguyen,“Black Lives Matter and antifa set Catholic church on fire in Minneapolis.”,Instagram posts,"21, April 2021",false,FAKE,0
Samantha Putterman,Photo shows President Barack Obama posing with a 420 sign.,Viral image,"21, April 2021",pants-fire,FAKE,0
Bill McCarthy,Derek Chauvin’s trial and conviction for the murder of George Floyd was faked as part of a “false flag.”,Facebook posts,"21, April 2021",pants-fire,FAKE,0
Michael Majchrowicz,Women’s menstrual cycles and fertility are affected by being around people who have received COVID-19 vaccines,Facebook posts,"21, April 2021",false,FAKE,0
Tom Kertscher,“Stanford study results” show face masks are ineffective and dangerous.,Bloggers,"21, April 2021",false,FAKE,0
Eric Litke,“Private insurance gives … better coverage” than people would get under a Medicaid expansion.,Mark Born,"21, April 2021",false,FAKE,0
Samantha Putterman,Japan’s prime minister met with Vice President Kamala Harris holding a Trump 2024 sign and wearing a red baseball cap.,Facebook posts,"20, April 2021",pants-fire,FAKE,0
Tom Kertscher,“Joe Biden and the Democrats want to remove any term that denotes gender.”,Facebook posts,"19, April 2021",barely-true,FAKE,0
Andy Nguyen,“Foot Locker donated 200 million dollars to BLM.”,Facebook posts,"19, April 2021",false,FAKE,0
Bill McCarthy,Derek Chauvin had his left hand in his pocket while kneeling on George Floyd.,Facebook posts,"19, April 2021",false,FAKE,0
Samantha Putterman,Schools stopped teaching children cursive so they wouldn’t be able to read the U.S. Constitution and other historical documents.,Facebook posts,"19, April 2021",pants-fire,FAKE,0
Ciara O'Rourke,Hobby Lobby’s CEO wrote a letter saying the company’s stores may close.,Facebook posts,"19, April 2021",barely-true,FAKE,0
Ciara O'Rourke,A serial killer is on the loose in Virginia.,Facebook posts,"19, April 2021",false,FAKE,0
Warren Fiske,"“I restored felons’ rights - 173,000 - more than any governor in the history of America.”",Terry McAuliffe,"19, April 2021",mostly-true,FAKE,0
Brandon Mulder,Texas “could be very close to herd immunity.”,Greg Abbott,"19, April 2021",false,FAKE,0
Kiannah Sepeda-Miller,“We have 23% of all the lead pipe leads in America in the Chicagoland area.”,Richard Durbin,"18, April 2021",half-true,FAKE,0
Tom Kertscher,"Says science shows the physiological effects of wearing masks include hypoxemia, hypercapnia, shortness of breath, toxicity and increased muscle tension.",Diamond and Silk,"16, April 2021",false,FAKE,0
Ciara O'Rourke,Police say there is a suspected serial killer in Baton Rouge.,Viral image,"16, April 2021",false,FAKE,0
Clara Hendrickson,Michigan used a mathematical “key” to manipulate vote totals in 2020 election.,Douglas Frank,"16, April 2021",pants-fire,FAKE,0
Michael Majchrowicz,"“This is all about a certificate of vaccination where they get you a national ID, and then the AI can track you.”",Facebook posts,"16, April 2021",pants-fire,FAKE,0
Ciara O'Rourke,"Coca-Cola, Ben & Jerry’s and other companies support rioting.",Viral image,"16, April 2021",false,FAKE,0
Eric Litke,Says Republican lawmakers delayed COVID-19 testing,Janet Bewley,"16, April 2021",barely-true,FAKE,0
Miriam Valverde,Says the nation is locked down and there’s “a wide open border.”,Facebook posts,"15, April 2021",false,FAKE,0
Bill McCarthy,"“Maybe (the COVID-19 vaccine) doesn't work, and they're simply not telling you that.”",Tucker Carlson,"15, April 2021",pants-fire,FAKE,0
Paul Specht,On whether he supports the filibuster.,Jeff Jackson,"15, April 2021",no-flip,FAKE,0
Lara Bonatesta,"President Joe Biden’s American Relief Plan “has a lot of money in it for schools, but if you really look at it … it says that the school money is going to go out until the year 2028.”",Shelley Moore Capito,"15, April 2021",mostly-true,FAKE,0
Tom Kertscher,"""Kids in cages"" in border facilities are ""at 700% capacity.""",Facebook posts,"15, April 2021",half-true,FAKE,0
Louis Jacobson,“There is racism physically built into some of our highways.”,Pete Buttigieg,"15, April 2021",true,REAL,1
Tom Kertscher,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",George Papadopoulos,"15, April 2021",false,FAKE,0
Ciara O'Rourke,“Marjorie Taylor Greene just scrubbed her Twitter feed of all things Gaetz.”,Viral image,"15, April 2021",false,FAKE,0
Ciara O'Rourke,“Moderna chief medical officer admits: mRNA alters DNA.”,Facebook posts,"14, April 2021",false,FAKE,0
Michael Majchrowicz,“Jay-Z and Beyonce are buying back DMX’s masters for $10 Million and giving to his kids for free.”,Facebook posts,"14, April 2021",pants-fire,FAKE,0
Ciara O'Rourke,“McDonald’s and Coke have both announced no whites will be hired in top positions.”,Facebook posts,"13, April 2021",false,FAKE,0
Amy Sherman,Says Raphael Warnock supports boycotts of Georgia to protest voting law.,National Republican Senatorial Committee,"13, April 2021",false,FAKE,0
Louis Jacobson,“Something less than 6% ... of this proposal that President Biden has put forward is actually focused on infrastructure.”,Liz Cheney,"13, April 2021",pants-fire,FAKE,0
Ciara O'Rourke,"A serial killer is targeting women in Hot Springs, Ark.",Facebook posts,"13, April 2021",false,FAKE,0
Andy Nguyen,Says the “1986 Vaccine protection act” resulted in “the biggest jump in shots” for children because it gave drug manufacturers “exemption for responsibility of killing people.”,Facebook posts,"13, April 2021",false,FAKE,0
Ciara O'Rourke,A photo shows Queen Elizabeth giggling because Prince Philip surprised her dressed in uniform as a palace guard.,Viral image,"13, April 2021",false,FAKE,0
Bill McCarthy,"""DMX received COVID vaccine days before heart attack.""",Instagram posts,"12, April 2021",false,FAKE,0
Ciara O'Rourke,"After learning some officers are Jewish, “Ilhan Omar says police shouldn’t exist.”",Viral image,"12, April 2021",pants-fire,FAKE,0
Ciara O'Rourke,"“George Floyd’s younger brother, Dejywan Floyd, has been arrested in North Carolina for a ‘road rage’ shooting of a white couple, killing the mother of six sitting in the passenger seat.”",Viral image,"12, April 2021",false,FAKE,0
Louis Jacobson,"“A new, independent study put out last week found that at least 55 of our largest corporations used various loopholes to pay zero federal income tax in 2020.”",Joe Biden,"12, April 2021",mostly-true,FAKE,0
Landon Allison,Residents of New York state “pay the highest taxes in the nation.”,Nicholas Langworthy,"12, April 2021",mostly-true,FAKE,0
Tom Kertscher,Black Lives Matter protest at Iowa Capitol was an “insurrection” like that on Jan. 6 at the U.S. Capitol.,Bloggers,"12, April 2021",false,FAKE,0
Laura Schulte,“We have encountered the largest surge of migrants (at the southern border) in the last 20 years.”,Glenn Grothman,"12, April 2021",barely-true,FAKE,0
Warren Fiske,On running for governor as an independent.,Amanda Chase,"12, April 2021",half-flip,FAKE,0
Jill Terreri,"""In fact, the data coming in from some states that have legalized marijuana is that they actually see a decrease in use over time, particularly among young people.""",Liz Krueger,"April • 9,",half-true,FAKE,0
Michael Majchrowicz,“56 million defenseless people ‘rounded up and exterminated’ in the 20th Century because of gun control.”,Instagram posts,"9, April 2021",false,FAKE,0
Jon Greenberg,Says Officer Derek Chauvin’s knee was “not on neck of George Floyd.”,Instagram posts,"9, April 2021",false,FAKE,0
Tom Kertscher,"“Kids at the border: 2,600 highest number Trump, 12,000 currently under Biden.”",Brandon Tatum,"9, April 2021",half-true,FAKE,0
Madison Czopek,"“Covid-does NOT exist AS A VIRUS,” and Russian doctors performing autopsies on deceased COVID-19 patients violate a World Health Organization law",Instagram posts,"9, April 2021",pants-fire,FAKE,0
Brandon Mulder,"“Nothing has changed in the election code (under SB 7) regarding early voting. Nothing has changed.""",Dan Patrick,"9, April 2021",pants-fire,FAKE,0
Louis Jacobson,"“You go to a gun show, you can buy whatever you want, and no background check.""",Joe Biden,"8, April 2021",barely-true,FAKE,0
Tom Kertscher,"""New poll indicates” Joe Biden’s “approval at 11%, the lowest approval rating of any president in American history.""",Facebook posts,"8, April 2021",pants-fire,FAKE,0
Madeline Heim,"Says it doesn't make sense for young adults to get the vaccine since they ""really are not under that much of a threat as a result of this virus.""",Tom Tiffany,"8, April 2021",barely-true,FAKE,0
Tom Kertscher,“Former Las Vegas Raiders offensive tackle Bruce Campbell involved in altercation.”,Facebook posts,"7, April 2021",false,FAKE,0
Louis Jacobson,"President Joe Biden’s infrastructure proposal “is fully paid for. Across 15 years, it would raise all of the revenue needed for these once-in-a-lifetime investments.""",Pete Buttigieg,"7, April 2021",mostly-true,FAKE,0
Tom Kertscher,"Colorado “requires photo ID to vote in person, requires signature verification for mail-in ballots, which Georgia got rid of, and prevents campaign workers from giving food, water to voters within 100 feet if they’re wearing campaign apparel.”",Facebook posts,"7, April 2021",half-true,FAKE,0
Bill McCarthy,"""Sunday was never used before as a voting day in Georgia.”",Edward Lawrence,"7, April 2021",false,FAKE,0
Tom Kertscher,“Report: Biden administration busing ‘thousands’ of illegals to red states to get permanent status.”,Bloggers,"7, April 2021",false,FAKE,0
Jon Greenberg,Says Georgia “has more day-of voting rights than Colorado.”,Tim Scott,"7, April 2021",barely-true,FAKE,0
Haley BeMiller,"""Over the past decade, drug prices have risen at three times the rate of inflation.""",Tammy Baldwin,"7, April 2021",half-true,FAKE,0
Louis Jacobson,The proposal by President Joe Biden would put the U.S. “No. 2 in the world” for the highest corporate tax rate.,Roy Blunt,"6, April 2021",half-true,FAKE,0
Louis Jacobson,"President Joe Biden’s corporate tax rate increase would ""put us in line with other industrial nations.""",Jennifer Granholm,"6, April 2021",barely-true,FAKE,0
Andy Nguyen,“6000% Increase in Reported Vaccine Deaths 1st Quarter 2021 Compared to 1st Quarter 2020”,Instagram posts,"6, April 2021",false,FAKE,0
Bill McCarthy,“The Biden administration is engaging in human trafficking because they are enabling this to happen” at the southern border.,Katie Pavlich,"6, April 2021",false,FAKE,0
Ciara O'Rourke,Says Donald Trump indicted Amy Coney Barrett.,Bloggers,"6, April 2021",pants-fire,FAKE,0
Brandon Mulder,“Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.”,Greg Abbott,"6, April 2021",true,REAL,1
Tom Kertscher,Says Ford agreed to invest $900 million at an Ohio plant because Donald Trump “lowered taxes” and is now moving the project to Mexico because Joe Biden is “increasing taxes.”,Facebook posts,"6, April 2021",barely-true,FAKE,0
Gabrielle Settles,"“Pete Buttigieg’s dog and pony show. He gets out of [the] car to ride his bike a few feet, pretending to save energy.”",Facebook posts,"6, April 2021",false,FAKE,0
Tom Kertscher,"“Per the CDC, there are nearly twice as many vaccine-related deaths so far in 2021 (1,755) than all the vaccine deaths this past decade (994).”",The Gateway Pundit,"6, April 2021",false,FAKE,0
D.L. Davis,"Says Gov. Tony Evers’ 2021-22 state budget ""increases taxes $1 billion +""",Rick Gundrum,"6, April 2021",mostly-true,FAKE,0
Samantha Putterman,"Navy SEALs found over 1,000 trafficked children and dead bodies on the Evergreen ship that blocked the Suez Canal.",Bloggers,"5, April 2021",pants-fire,FAKE,0
Raeanne Beckner,"H.R. 1 “mandates practices nationwide” that include “ballot harvesting, universal mail-in voting and same-day registration.”",Alex Mooney,"5, April 2021",half-true,FAKE,0
Madison Czopek,"In this photo, “Man uses a gun to rob a Texas convenience store. Man was shot by every customer inside the store”",Viral image,"5, April 2021",false,FAKE,0
Warren Fiske,“Two out of our last three governors in Virginia were investigated by the FBI. One went to jail and one is running for office again in this election.”,Jennifer Carroll Foy,"5, April 2021",half-true,FAKE,0
Paul Specht,“People don’t pretend to be someone else to go in and vote. You just don’t see that kind of fraud.”,Roy Cooper,"5, April 2021",mostly-true,FAKE,0
Gabrielle Settles,"“As of today, no one has the right to film or photograph Mr. Biden as he climbs the flight of stairs. New White House spokesman orders!!?”",TikTok posts,"2, April 2021",pants-fire,FAKE,0
Jon Greenberg,Says Joe Biden’s infrastructure plan “is the Green New Deal.”,Citizens United,"2, April 2021",barely-true,FAKE,0
Eric Litke,“It took the Legislature nearly 300 days to act on a (COVID-19) bill during this pandemic.”,Tony Evers,"2, April 2021",half-true,FAKE,0
Bill McCarthy,"""They’re unable to administer vaccines if the lockdown ends because the emergency ends with it.”",Tweets,"2, April 2021",false,FAKE,0
Louis Jacobson,HR 1 “gives the federal government the power to establish their own committees” to take over the redistricting process.,Turning Point USA,"2, April 2021",barely-true,FAKE,0
Samantha Putterman,The number of pregnant women who have miscarried increased by “366% in just six weeks” as a result of their receiving a COVID-19 vaccine.,Bloggers,"2, April 2021",false,FAKE,0
Clara Hendrickson,Michigan election bills are “designed to make it easier for people to vote.”,Michael MacDonald,"2, April 2021",barely-true,FAKE,0
Gabrielle Settles,“The tax deadline is April 18th. Do your taxes soon.”,Viral image,"1, April 2021",false,FAKE,0
Daniel Funke,"""mRNA is not a vaccine"" — it's ""actually an operating system"" that's run by Bill Gates to program humans.",Facebook posts,"1, April 2021",pants-fire,FAKE,0
Tom Kertscher,"“If I don’t take the vaccine, I’m at risk for covid. If I do take the vaccine, I’m still at risk for covid PLUS I’m at risk for permanent vaccine side effects. Therefore I’m reducing my risk by not taking the vaccine. That’s the real science.”",Facebook posts,"31, March 2021",false,FAKE,0
Jon Greenberg,Calls COVID-19 vaccine a “non-FDA-approved experimental agent.”,Instagram posts,"31, March 2021",barely-true,FAKE,0
Gabrielle Settles,A map shows “all the cargo ships backed up by the Suez Canal. Get ready for shortages and prices to skyrocket.”,Facebook posts,"31, March 2021",false,FAKE,0
Noah Y.,Says H.R. 1 gives immigrants illegally in the country “the right to vote.”,Instagram posts,"March • 31,",false,FAKE,0
Andy Nguyen,"“From Europe: 3,964 people have died from adverse drug reactions for COVID-19 ‘vaccines’ – 162,610 injuries.”",Bloggers,"31, March 2021",false,FAKE,0
Louis Jacobson,"If the voting bill H.R. 1 is passed, “absentee ballots would be mailed out to anyone without proof of the voter’s identity.”",Facebook posts,"31, March 2021",false,FAKE,0
Amy Sherman,U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,Facebook posts,"31, March 2021",true,REAL,1
Madison Czopek,Video says COVID-19 vaccines are “weapons of mass destruction” that “could wipe out the human race.”,Facebook posts,"31, March 2021",pants-fire,FAKE,0
Michael Majchrowicz,Image of expansive pit shows a lithium mine.,Viral image,"31, March 2021",false,FAKE,0
Samantha Putterman,Says Ben Shapiro said on Twitter that his “red pill moment” was sharing cupcakes with poor kids.,Facebook posts,"31, March 2021",pants-fire,FAKE,0
Tom Kertscher,"“Joe Biden puts pro-life groups on domestic extremist list, calls pro-life people ‘violent.’”",Facebook posts,"31, March 2021",barely-true,FAKE,0
Amy Sherman,Georgia’s new voting law “makes it a JAIL-TIME CRIME to drop off grandma’s absentee ballot in a dropbox.”,Facebook posts,"30, March 2021",false,FAKE,0
Jon Greenberg,"Says Deborah Birx “traveled a great distance to see her family for Thanksgiving, only to have them call the police and turn her in. She then ... resigned.”",Donald Trump,"30, March 2021",half-true,FAKE,0
Tom Kertscher,"“Minority farmers get big bonus, white ones get none,” because of Democrats.",Facebook posts,"30, March 2021",half-true,FAKE,0
Samantha Putterman,The ship that was stuck in the Suez Canal was a planned or staged event.,Instagram posts,"30, March 2021",false,FAKE,0
Bill McCarthy,"Says Rachel Levine was Time magazine's ""Woman of the Year.""",Facebook posts,"30, March 2021",false,FAKE,0
Noah Y.,Nostradamus predicted that a “feeble man” would rule the “Western World” after a time of “plague.”,Facebook posts,"March • 30,",pants-fire,FAKE,0
Madison Czopek,Says Sen. Cory Booker wants to require a federal license for gun owners but criticizes voter ID laws as discriminatory.,Viral image,"30, March 2021",mostly-true,FAKE,0
Eric Litke,"Judge Jeff Davis ""spent years defending a convicted cop killer"" and ""tried to get him off the hook.""",Shelley Grogan,"30, March 2021",half-true,FAKE,0
Warren Fiske,“There is no discernible difference between the spread and deaths of COVID in Virginia than there is in Florida.”,Pete Snyder,"30, March 2021",false,FAKE,0
Tom Kertscher,"“Less than 500 people a year killed by all rifles combined” and “4,000 a year killed by illegals.”",Facebook posts,"30, March 2021",barely-true,FAKE,0
Tom Kertscher,"Says the suspected Boulder mass shooter is a Muslim ""who entered illegally from Mexico and purchased the firearm from a guy that sells stolen guns.""",Facebook posts,"30, March 2021",barely-true,FAKE,0
Bill McCarthy,“Toxicology report was made public by the MN prosecution revealing the cause of George Floyd’s death was a fentanyl overdose.”,Facebook posts,"30, March 2021",false,FAKE,0
Gabrielle Settles,"Says Jimmy Kimmel, Jimmy Fallon and Stephen Colbert are “still not doing Biden jokes.""",Facebook posts,"30, March 2021",false,FAKE,0
Samantha Putterman,Says Google Earth blocked people from seeing the Suez Canal.,Facebook posts,"29, March 2021",false,FAKE,0
Miriam Valverde,“We spent billions on a border wall and quit when it was 90% finished.”,Facebook posts,"29, March 2021",barely-true,FAKE,0
Amy Sherman,A Georgia law has not “criminalized giving people bottles of water.” It pertains to political organizations.,Josh Holmes,"29, March 2021",barely-true,FAKE,0
Louis Jacobson,"""There are 43 states that have now passed voter suppression laws.""",James Clyburn,"29, March 2021",false,FAKE,0
Paul Specht,"""Joe Biden forced the U.S. Attorney for the Eastern District of North Carolina to resign after 24 people were charged with election fraud and the Mainstream Media never even batted an eyelash.""",Tweets,"29, March 2021",barely-true,FAKE,0
Noah Y.,Nike and Lil Nas X are launching “demonic shoes” containing human blood.,Facebook posts,"March • 29,",half-true,FAKE,0
Brandon Mulder,"""We began seeing the increase in unaccompanied minors going back to last April 2020. This is not something that happened as a result of Joe Biden becoming president.”",Veronica Escobar,"29, March 2021",half-true,FAKE,0
Michael Majchrowicz,“In a vegan world there would be no pandemics. 100% of pandemics are zoonotic in origin.”,Facebook posts,"29, March 2021",barely-true,FAKE,0
Bill McCarthy,"""Ted Cruz says owning a gun should be as hassle free as owning a car, which as I recall requires a license and registration.""",Facebook posts,"29, March 2021",false,FAKE,0
Madeline Heim,"“There’s still (only) a handful of school districts"" doing no in-person instruction.",Tony Evers,"29, March 2021",true,REAL,1
Louis Jacobson,"“In a majority of states, new voters are able to obtain a rifle quicker than they’re able to cast their first ballot.”",Alex Padilla,"29, March 2021",mostly-true,FAKE,0
Jon Greenberg,"The Democratic clean energy plan is pro-China, because ""90% of the solar panels, 80% of the wind machines, 90% of the rare earth minerals … are in Asia or in China.”",Cathy McMorris Rodgers,"29, March 2021",half-true,FAKE,0
Miriam Valverde,"Says there was a “28% increase in children to the border in my administration” and “31% … in 2019.” The increase in migration in January, February and March “happens every year.”",Joe Biden,"26, March 2021",barely-true,FAKE,0
Taylor Goldenstein,"""Since 2006 Texas has given $19B in taxpayer subsidies to wind energy companies. Over the past 2-3 years Texas has tripled our dependence on wind energy to 23-25 percent of our energy distribution system.""",Allen West,"26, March 2021",false,FAKE,0
Julie Appleby,"“Sorry Dr Fauci and other fearmongers, new study shows vaccines and naturally acquired immunity DO effectively neutralize COVID variants.”",Rand Paul,"26, March 2021",half-true,FAKE,0
Eric Litke,“You can’t tell me they can (develop a safe vaccine) in eight to 10 months. Or a year. It takes more time than that.”,James Edming,"26, March 2021",pants-fire,FAKE,0
Amy Sherman,“Republicans recently passed a bill to eliminate early voting on Sunday” in Georgia,Charles Schumer,"26, March 2021",barely-true,FAKE,0
Haley BeMiller,"The latest stimulus package ""sends stimulus checks to imprisoned murderers, rapists, and child molesters.”",Julian Bradley,"26, March 2021",mostly-true,FAKE,0
Miriam Valverde,“We’re sending back the vast majority of the families that are coming.”,Joe Biden,"25, March 2021",false,FAKE,0
Ciara O'Rourke,Bull sharks were released in an Arkansas river.,Viral image,"25, March 2021",false,FAKE,0
Landon Allison,“We had the highest number of (military) sexual assaults ever reported in the last year” and “we had the lowest conviction rate and the lowest prosecution rate.”,Kirsten Gillibrand,"25, March 2021",mostly-true,FAKE,0
Ciara O'Rourke,Passports aren’t required to enter the United States from Mexico and Canada.,Facebook posts,"25, March 2021",barely-true,FAKE,0
Daniel Funke,"""Suez Canal blocked by huge container ship named Evergreen. Evergreen shipping is most likely a cover for human and sex trafficking” by Hillary Clinton.",Facebook posts,"25, March 2021",pants-fire,FAKE,0
Duncan Slade,West Virginia “is the only state to decline in population over the last 70 years”,Jim Justice,"25, March 2021",true,REAL,1
Bill McCarthy,"A CNN chyron said the Boulder “shooter was factually Arabic, but morally white.”",Facebook posts,"25, March 2021",pants-fire,FAKE,0
Bill McCarthy,"""In 2004, George W. Bush lifted the ban on those (AR-15 type) rifles, and since then, the number of massacres has increased 183%. During the ban, there were 12 incidents. Since he lifted the ban, there were 34 incidents.""",Joy Behar,"25, March 2021",half-true,FAKE,0
Tom Kertscher,"""80% of people taking the Moderna vaccine had significant side effects, via Bill Gates.""",Facebook posts,"25, March 2021",false,FAKE,0
Paul Specht,"""Illegal border crossings are up 173% from 1 year ago and 28% since January when President Biden stopped the wall & deportations and started catch & release.""",Richard Hudson,"25, March 2021",half-true,FAKE,0
Laura Schulte,"“Right now, two-thirds of the U.S. Senate is composed of millionaires.”",Tom Nelson,"25, March 2021",mostly-true,FAKE,0
Daniel Funke,“New information coming in that Boulder shooter was a Syrian refugee who arrived via Obama-era asylum programs.”,Jack Posobiec,"24, March 2021",barely-true,FAKE,0
Amy Sherman,"""We proudly handed the Biden administration the most secure border in history. All they had to do was keep this smooth-running system on autopilot.”",Donald Trump,"24, March 2021",barely-true,FAKE,0
Miriam Valverde,The border surge is “challenging” because the immigration system that had been in place for decades “was dismantled in its entirety by the Trump administration.”,Alejandro Mayorkas,"24, March 2021",half-true,FAKE,0
Noah Y.,"The “president of Drag Queen Story Hour” was “arrested, charged with child pornography.”",Facebook posts,"March • 24,",false,FAKE,0
Jon Greenberg,These 11 mass shootings involved an AR-15-style weapon.,Viral image,"24, March 2021",mostly-true,FAKE,0
Tom Kertscher,"“Finally, a judge has ruled Dominion voting machines were designed to create fraud.”",Facebook posts,"23, March 2021",false,FAKE,0
Eric Litke,"“There was no violence on the Senate side, in terms of the chamber.”",Ron Johnson,"23, March 2021",barely-true,FAKE,0
Ciara O'Rourke,"“Last week, the Colorado Supreme Court declared that Boulder’s AR-15 ban was unconstitutional. Today, there was a mass shooting in Boulder.”",Viral image,"23, March 2021",half-true,FAKE,0
Daniel Funke,"The shooting in Boulder, Colo., was a ""false flag like most of the others.""",Facebook posts,"23, March 2021",pants-fire,FAKE,0
Bill McCarthy,The southern U.S. border “is now open to anyone from anywhere in the world who wishes to enter our country.”,Jeanine Pirro,"23, March 2021",false,FAKE,0
Ciara O'Rourke,“Texas has launched ‘Operation Lone Star’ to finish the border wall themselves.”,Facebook posts,"23, March 2021",false,FAKE,0
Ciara O'Rourke,"Gas costs $7.89 at a station in Albuquerque, New Mexico.",Viral image,"23, March 2021",false,FAKE,0
Louis Jacobson,"Under H.R. 1, the Federal Election Commission “for the first time ever, instead of being an equal number of Republicans and Democrats (would be) three of one side and two of the other.""",Roy Blunt,"22, March 2021",barely-true,FAKE,0
Samantha Putterman,The movie “I am Legend” was based in the year 2021 and people turned into zombies “because of the wrong vaccine.”,Facebook posts,"22, March 2021",false,FAKE,0
Ciara O'Rourke,“Jamaica has not recorded any case of the coronavirus.”,Viral image,"22, March 2021",pants-fire,FAKE,0
Andy Nguyen,Aluminum “is in the vaccine” and will hurt the brain.,Instagram posts,"22, March 2021",false,FAKE,0
Noah Y.,"“Joe Biden and Kamala Harris forced our troops to sleep on the floor of a garage, yet has authorized $89 million for hotel rooms for illegal immigrants.”",Facebook posts,"March • 22,",barely-true,FAKE,0
Ciara O'Rourke,Says Disneyland is enforcing a “no scream” policy on roller coasters.,Viral image,"22, March 2021",false,FAKE,0
Ciara O'Rourke,Video “proves 100% that President Joe Biden is not a ‘human’ being.”,Viral image,"22, March 2021",pants-fire,FAKE,0
Warren Fiske,"“If you look at the average teacher pay compared to the average pay of your citizens, Virginia ranks last.”",Terry McAuliffe,"22, March 2021",true,REAL,1
Daniel Funke,“You will need a WHO Yellow Vaccination Passport if you plan on traveling internationally once borders open.”,TikTok posts,"22, March 2021",barely-true,FAKE,0
Kiannah Sepeda-Miller,The American Rescue Plan Act “does not” include “checks and balances” on how funds for state and local governments can be spent.,Mike Bost,"21, March 2021",half-true,FAKE,0
Samantha Putterman,"“Pelosi’s $1.9 trillion bailout gives EVERY federal employee a $21,000 bonus check… they never lost their job!”",Facebook posts,"19, March 2021",false,FAKE,0
